# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.448,-0.196,0.76,0.26179108,0.017604449,0.039203811,0.0085811952,0.016775191,0.57975108,3.9204262,0.52701803,2.4360974,0.018480451
0.448,-0.196,0.92,0.29879108,0.017670904,0.039110954,0.0071996351,0.014292202,0.49191491,3.602981,0.39085973,2.0303694,0.019073921
0.448,-0.196,1.08,0.32907208,0.017792617,0.039623924,0.0065389764,0.01325172,0.46026342,3.5653547,0.31133522,1.6099701,0.019339972
0.448,-0.196,1.24,0.35400308,0.017285469,0.03790305,0.0061627597,0.012714201,0.43217268,3.4527673,0.27941919,1.5696717,0.020834055
0.448,-0.196,1.4,0.37465408,0.017225181,0.038050101,0.0058819553,0.012503845,0.42090591,3.4717545,0.26309304,1.5442142,0.022604011
0.448,-0.264,0.6,0.19877808,0.016616277,0.039016959,0.01560283,0.027821135,0.80744222,4.4521172,1.1745426,4.4357557,0.020691405
0.448,-0.264,0.76,0.23984908,0.017436737,0.03970912,0.010159915,0.01962028,0.68014744,4.397076,0.669247,2.7622036,0.018855218
0.448,-0.264,0.92,0.27557108,0.017005089,0.037350905,0.0083081863,0.016402342,0.57976712,4.0520767,0.49041931,2.2505852,0.01955022
0.448,-0.264,1.08,0.30574608,0.017215296,0.038178465,0.0074238232,0.014805288,0.51215754,3.7925449,0.41239828,2.1357619,0.021316656
0.448,-0.264,1.24,0.33099808,0.017274267,0.038674516,0.0068703166,0.013995251,0.4754098,3.6752104,0.38047263,2.2674593,0.023982094
0.448,-0.264,1.4,0.35229108,0.017179163,0.038530831,0.0064935069,0.013645176,0.45587735,3.6304742,0.337006,2.0055266,0.024825142
0.448,-0.332,0.6,0.18701808,0.015295723,0.034898466,0.018674329,0.032183104,0.84677617,4.4083117,1.43173,5.1959898,0.021655593
0.448,-0.332,0.76,0.22565808,0.016884423,0.038625521,0.01165337,0.022000866,0.74030132,4.6032865,0.81655416,3.3118396,0.019752051
0.448,-0.332,0.92,0.26020108,0.016651833,0.036863339,0.0093397079,0.018179807,0.61748559,4.1563889,0.62297276,3.0215175,0.021515021
0.448,-0.332,1.08,0.28998708,0.017043582,0.038044531,0.0081314756,0.016179726,0.56227481,4.045861,0.48287602,2.3573138,0.02186665
0.448,-0.332,1.24,0.31532108,0.017153513,0.038570521,0.0074681707,0.015166446,0.52281858,3.9466427,0.41656873,2.1541864,0.023257829
0.448,-0.332,1.4,0.33683908,0.017003876,0.038268953,0.0070413713,0.014640596,0.50552737,3.9330605,0.40924319,2.4393076,0.026948688
