Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.391823,+0018873,+0622656,0.391997,-8388608,-8388608,0.391936,+0301355,-0141443,0.393065,-0398793,+0615034,0.392471,+0852569,+0378187,20:51:46.768542
0.395069,+0018873,+0622553,0.395234,-8388608,-8388608,0.395175,+0301392,-0141568,0.395874,-0398827,+0614954,0.395293,+0852596,+0378054,20:51:46.768542
0.398368,+0019084,+0622676,0.398487,-8388608,-8388608,0.398427,+0301559,-0141489,0.398680,-0398825,+0614823,0.398080,+0852830,+0378168,20:51:46.768542
0.401616,+0018896,+0622535,0.401787,-8388608,-8388608,0.401674,+0301465,-0141556,0.401513,-0399056,+0615091,0.400866,+0852625,+0378067,20:51:46.768542
0.404861,+0019068,+0622491,0.405031,-8388608,-8388608,0.404919,+0301172,-0141546,0.404323,-0399005,+0614965,0.403657,+0852692,+0378202,20:51:46.768542
0.408105,+0018984,+0622637,0.408277,-8388608,-8388608,0.408217,+0301381,-0141471,0.407132,-0398838,+0615121,0.406541,+0852838,+0378239,20:51:46.768542
0.411350,+0018843,+0622639,0.411527,-8388608,-8388608,0.411466,+0301461,-0141494,0.409954,-0399103,+0615202,0.409327,+0852644,+0378130,20:51:46.768542
0.414594,+0018961,+0622495,0.414767,-8388608,-8388608,0.414703,+0301533,-0141313,0.412811,-0399062,+0614877,0.412114,+0852967,+0378177,20:51:46.768542
0.417839,+0018898,+0622660,0.418035,-8388608,-8388608,0.417977,+0301433,-0141369,0.415619,-0398960,+0614949,0.417695,+0852408,+0378102,20:51:46.768542
0.421089,+0018857,+0622570,0.421330,-8388608,-8388608,0.421212,+0301335,-0141467,0.421271,-0398947,+0614889,0.420481,+0852771,+0378093,20:51:46.768542
0.424360,+0018931,+0622574,0.424569,-8388608,-8388608,0.424449,+0301297,-0141578,0.424082,-0398993,+0615184,0.423271,+0852689,+0378134,20:51:46.768542
0.427604,+0018970,+0622554,0.427805,-8388608,-8388608,0.427737,+0301343,-0141527,0.426890,-0399018,+0615009,0.426062,+0852758,+0378435,20:51:46.769590
0.430853,+0018815,+0622744,0.431048,-8388608,-8388608,0.430980,+0301456,-0141665,0.429700,-0398977,+0615037,0.428863,+0852594,+0378178,20:51:46.769590
0.434117,+0019026,+0622452,0.434289,-8388608,-8388608,0.434231,+0301398,-0141579,0.432553,-0399035,+0614967,0.431649,+0852684,+0378197,20:51:46.769590
0.437362,+0018869,+0622700,0.437577,-8388608,-8388608,0.437517,+0301478,-0141500,0.435365,-0398952,+0615093,0.437235,+0852826,+0378042,20:51:46.871345
0.440608,+0018958,+0622588,0.440813,-8388608,-8388608,0.440752,+0301564,-0141407,0.438174,-0398778,+0614869,0.440021,+0852635,+0378278,20:51:46.871345
0.463433,+0018902,+0622620,0.463659,-8388608,-8388608,0.463543,+0301205,-0141488,0.463601,-0398724,+0615175,0.465172,+0852909,+0378103,20:51:46.871345
0.466736,+0018902,+0622640,0.466918,-8388608,-8388608,0.466851,+0301205,-0141602,0.466452,-0398924,+0614829,0.467961,+0852800,+0378009,20:51:46.871345
0.469980,+0018882,+0622467,0.470155,-8388608,-8388608,0.470088,+0301555,-0141481,0.469297,-0398751,+0615168,0.470758,+0852582,+0378018,20:51:46.871345
0.473225,+0019054,+0622616,0.473391,-8388608,-8388608,0.473323,+0301466,-0141731,0.472104,-0398817,+0615054,0.473566,+0852707,+0378136,20:51:46.871345
0.476469,+0019060,+0622570,0.476704,-8388608,-8388608,0.476646,+0301307,-0141581,0.474910,-0398859,+0614913,0.476373,+0852654,+0378227,20:51:46.871345
0.479722,+0018976,+0622636,0.479939,-8388608,-8388608,0.479880,+0301377,-0141479,0.477717,-0398869,+0615088,0.479181,+0852682,+0378136,20:51:46.871345
0.482967,+0018846,+0622762,0.483177,-8388608,-8388608,0.483117,+0301511,-0141559,0.480525,-0398940,+0615221,0.481988,+0852582,+0378144,20:51:46.871345
0.486213,+0018974,+0622741,0.486531,-8388608,-8388608,0.486411,+0301533,-0141511,0.486137,-0398957,+0615052,0.484853,+0852665,+0378094,20:51:46.871345
0.489457,+0018816,+0622674,0.489770,-8388608,-8388608,0.489646,+0301310,-0141532,0.488947,-0398865,+0615002,0.487665,+0852811,+0377974,20:51:46.871345
